matricula,nome,idade,curso,cidade,uf,cra
20260001,Bruno Fernandes Lopes,32,Sistemas de Informacao,Pirapora,GO,8.63
20260002,Amanda Machado Oliveira,19,Engenharia Eletrica,Belo Horizonte,BA,7.48
20260003,Nicolas Cavalcanti,44,Analise e Desenvolvimento de Sistemas,Juiz de Fora,ES,6.36
20260004,Lucas Machado Dias Fernandes,27,Analise e Desenvolvimento de Sistemas,Janauba,MG,5.45
20260005,Caio Castro,34,Ciencia da Computacao,Juiz de Fora,ES,5.61
20260006,Fernanda Monteiro Vieira Brito,41,Matematica,Belo Horizonte,GO,5.34
20260007,Vinicius Ferreira Almeida,24,Administracao,Porteirinha,RJ,8.11
20260008,Debora Nascimento Carvalho,35,Quimica,Salinas,ES,8.11
20260009,Rafaela Costa Freitas,42,Engenharia de Software,Ouro Preto,BA,8.35
20260010,Daniela Almeida Oliveira Rocha,43,Engenharia de Software,Salinas,BA,9.47
20260011,Alexandre Carvalho Ramos,43,Fisica,Juiz de Fora,BA,6.3
20260012,Leticia Cavalcanti Soares,55,Administracao,Curvelo,RJ,6.77
20260013,Igor Teixeira Ramos Ferreira,21,Engenharia Eletrica,Almenara,GO,5.78
20260014,Gustavo Rodrigues Moreira,42,Matematica,Juiz de Fora,ES,6.23
20260015,Ana Pereira Cavalcanti,35,Fisica,Janauba,MG,6.44
20260016,Ana Soares,50,Sistemas de Informacao,Lavras,MG,9.27
20260017,Rodrigo Castro Martins,27,Medicina,Teofilo Otoni,ES,9.67
20260018,Ana Castro Rocha Ramos,19,Engenharia Eletrica,Sao Francisco,DF,8.95
20260019,Rafaela Medeiros Ferreira,23,Quimica,Vicosa,DF,5.34
20260020,Igor Lima Cardoso Monteiro,28,Engenharia de Software,Lavras,DF,7.97
20260021,Felipe Martins Barbosa Nunes,41,Direito,Lavras,RJ,5.59
20260022,Beatriz Santos Pinto,53,Analise e Desenvolvimento de Sistemas,Curvelo,BA,5.04
20260023,Daniela Almeida Rodrigues Oliveira,39,Engenharia Eletrica,Lavras,BA,6.36
20260024,Felipe Lima Medeiros,54,Direito,Diamantina,DF,7.32
20260025,Gabriel Alves Machado,40,Administracao,Uberlandia,RJ,9.23
20260026,Gabriel Souza,43,Quimica,Janauba,DF,9.22
20260027,Nicolas Cavalcanti Mendes,26,Administracao,Teofilo Otoni,SP,7.27
20260028,Eduardo Mendes Monteiro Alves,21,Fisica,Ouro Preto,DF,5.07
